Name,Style,Brewery,ABV,Astringency,Body,Alcohol,Bitter,Sweet,Sour,Salty,Fruits,Hoppy,Spices,Malty
Black Radish Dark Lager,Lager - Schwarzbier,Weeping Radish Eco Farm & Brewery,5.3,20,66,5,52,47,11,0,11,28,6,113
Das Schwarze,Lager - Schwarzbier,Dinkelacker-Schwabenbraeu AG,4.9,18,72,2,45,68,8,0,11,36,5,134
Monteith's Black,Lager - Schwarzbier,Monteith's Brewing Co.,5.2,12,77,7,40,61,8,0,4,17,8,108
Miner Mishap,Lager - Schwarzbier,Choc Beer Co. / Pete's Place,5.3,18,81,13,58,82,14,0,5,29,15,121
Saranac Black Lager,Lager - Schwarzbier,Matt Brewing Company,5.5,8,67,9,52,50,5,0,5,53,4,103
Herold Bohemian Black Lager,Lager - Schwarzbier,Pivovar Herold B&#345;eznice A.s.,5.2,14,83,9,71,71,17,0,27,43,23,128
Samuel Adams Boston LagerBoston Beer Company (Samuel Adams),Lager - Vienna,Boston Beer Company (Samuel Adams),5,17,25,4,41,33,10,0,7,54,7,83
Eliot Ness,Lager - Vienna,Great Lakes Brewing Company,6.1,16,37,9,39,44,12,0,22,42,5,78
Dos Equis Ambar,Lager - Vienna,"Cervecería Cuauhtémoc Moctezuma, S.A. de C.V.",4.7,14,32,3,28,53,11,3,10,57,16,94
Vienna Lager,Lager - Vienna,Devils Backbone Brewing Company,5.2,7,30,2,31,31,8,0,4,44,3,67
Vienna Style Lager,Lager - Vienna,Sierra Nevada Brewing Co.,5.3,30,38,4,41,62,20,0,23,66,23,103
Red Lager,Lager - Vienna,Jacob Leinenkugel Brewing Company,4.9,17,26,7,42,28,4,0,6,65,7,80
Victoria,Lager - Vienna,Grupo Modelo S.A. de C.V.,4,10,16,5,9,23,7,0,4,14,8,54
Schell's FireBrick,Lager - Vienna,August Schell Brewing Company,5,11,35,8,42,40,12,0,10,55,16,85
Penn Pilsner,Lager - Vienna,Pennsylvania Brewing Company,5,25,37,4,31,39,9,0,10,45,2,88
Special Amber,Lager - Vienna,Sprecher Brewing Company,5,14,38,7,51,57,23,0,28,71,12,90
Indio,Lager - Vienna,"Cervecería Cuauhtémoc Moctezuma, S.A. de C.V.",4.1,4,24,4,8,40,8,4,6,8,1,58
Schild Brau Amber,Lager - Vienna,Millstream Brewing Company,4.9,24,30,13,37,72,19,4,12,48,5,117
Big Bark Amber Lager,Lager - Vienna,Live Oak Brewing Company,4.9,16,33,11,35,31,13,1,9,56,5,91
Saranac Season's Best - Nut Brown Lager,Lager - Vienna,Matt Brewing Company,5.3,26,39,9,46,54,9,1,10,51,12,130
Dynamo Copper Lager,Lager - Vienna,Metropolitan Brewing,5.8,19,41,8,40,57,11,4,15,55,6,112
Rusty Chain,Lager - Vienna,Flying Bison Brewing Company,5.2,14,45,7,38,53,9,0,5,48,7,80
The Raven Special Lager,Lager - Vienna,B.W. Beer Works USA,5.25,24,30,7,26,54,17,1,18,37,11,92
Jenny Lake Lager,Lager - Vienna,Snake River Brewing Company & Brewpub,4.8,12,54,8,35,78,11,3,16,53,2,134
1906 Reserva Especial,Lager - Vienna,"Hijos De Rivera, S.A.",6.5,21,26,9,34,47,10,3,10,61,7,88
Pietra (Amber),Lager - Vienna,Brasserie Pietra,6,25,28,18,26,51,19,0,9,57,5,126
Mac Queen's Nessie,Lager - Vienna,Brauerei Schloss Eggenberg,5,16,45,46,28,66,32,2,30,44,21,113
Wild Hop Organic Amber LagerGreen Valley Brewing Company (Crooked Creek),Lager - Vienna,Green Valley Brewing Company (Crooked Creek),0,24,40,8,48,34,20,0,12,63,4,58
Oktoberfest,Lager - Vienna,Hinterland Brewery Restaurant,6,26,61,16,70,35,26,2,22,91,4,112
Menabrea Ambrata,Lager - Vienna,Birra Menabrea SpA,5,19,35,4,27,58,13,0,12,36,3,108
Ybor Gold Amber Lager,Lager - Vienna,Florida Beer Company,4.6,20,26,2,28,37,13,5,9,43,5,73
Bohemia Oscura,Lager - Vienna,"Cervecería Cuauhtémoc Moctezuma, S.A. de C.V.",5.5,13,39,11,24,50,11,0,17,25,2,107
Saranac Winter Lager,Lager - Vienna,Matt Brewing Company,5.9,12,34,3,30,62,1,0,2,41,14,102
Danish Red Lager,Lager - Vienna,Figueroa Mountain Brewing Co.,5,19,43,8,27,51,15,0,17,38,2,88
Shiner Bavarian Style Amber,Lager - Vienna,Spoetzl Brewery,4.9,23,43,7,55,49,12,5,14,80,5,100
Left Coast Una Mas Amber Lager,Lager - Vienna,Left Coast Brewing Company,6.4,12,31,11,30,58,16,0,11,42,6,98
Vienna Red Lager,Lager - Vienna,Iron Hill Brewery & Restaurant,4.4,29,58,4,39,59,12,0,11,53,7,102
Vienna-Style Amber Lager,Lager - Vienna,Tommyknocker Brewery,5.5,26,46,10,33,70,29,1,30,46,8,84
Red Stallion,Lager - Vienna,Crescent City Brewhouse,5.8,8,38,6,27,14,9,0,8,31,3,51
Fat Cat Lager,Lager - Vienna,The Fat Cat Beer Company,4.9,16,27,5,22,49,33,0,27,25,4,67
P.J.W. Copper Lager,Lager - Vienna,Victory Brewing Company,5.6,7,10,1,13,22,7,0,5,22,2,39
Tuborg Classic,Lager - Vienna,Tuborgs Bryggerier A/S,4.6,15,10,8,25,10,2,1,2,31,2,34
Trailhead,Lager - Vienna,Wellington County Brewery,4.5,27,41,6,44,48,19,3,20,63,1,71
Faro,Lambic - Faro,Brasserie Cantillon,5,12,58,6,17,92,85,0,37,21,21,44
Chapeau Faro Lambic,Lambic - Faro,Brouwerij De Troch,4.75,24,35,13,7,178,132,0,76,9,2,40
Girardin Faro 1882,Lambic - Faro,Brouwerij Girardin,5,27,37,5,10,132,103,0,50,17,27,64
Faro Boon,Lambic - Faro,Brouwerij Boon,4,13,17,3,5,101,67,0,39,9,0,22
Faro,Lambic - Faro,Brouwerij Timmermans-John Martin N.V.,4,10,20,2,2,89,79,1,54,7,5,26
Mort Subite Faro,Lambic - Faro,Brouwerij Mort Subite,5,3,10,4,1,38,21,0,7,1,0,15
St. Louis Premium Faro,Lambic - Faro,Brouwerij Van Honsebrouck N.V.,3.2,3,4,1,1,34,30,1,10,1,0,11
Tilquin Faro,Lambic - Faro,Gueuzerie Tilquin,4.8,0,2,1,2,19,18,0,16,3,0,2
De Cam Faro,Lambic - Faro,De Cam Geuzestekerij,5,0,0,0,0,0,0,0,0,0,0,0
Fou' Foune,Lambic - Fruit,Brasserie Cantillon,5.5,21,17,2,4,66,112,1,107,16,1,5
Framboise,Lambic - Fruit,Brouwerij Lindemans,2.5,21,50,13,5,174,91,0,125,10,9,23
Kriek 100% Lambic,Lambic - Fruit,Brasserie Cantillon,5,25,36,5,2,42,98,0,98,16,17,10
Rosé De Gambrinus,Lambic - Fruit,Brasserie Cantillon,5,29,37,3,6,118,117,0,104,17,3,14
Saint Lamvinus,Lambic - Fruit,Brasserie Cantillon,7,48,36,13,5,101,143,3,121,13,4,16
Lou Pepe - Kriek,Lambic - Fruit,Brasserie Cantillon,5,23,22,4,2,44,96,0,74,7,5,13
Vigneronne,Lambic - Fruit,Brasserie Cantillon,5,37,30,7,10,103,143,3,145,22,3,26
Lou Pepe - Framboise,Lambic - Fruit,Brasserie Cantillon,5.5,26,23,6,4,80,98,1,77,5,3,8
Kriek,Lambic - Fruit,Brouwerij Lindemans,3.5,22,28,10,3,87,89,0,102,7,9,13
Oude Kriek,Lambic - Fruit,Brouwerij Drie Fonteinen,6.5,38,33,11,4,66,135,1,113,15,9,14
Pêche,Lambic - Fruit,Brouwerij Lindemans,2.5,11,21,9,1,73,43,0,96,1,0,11
Hommage,Lambic - Fruit,Brouwerij Drie Fonteinen,6,28,15,3,5,88,103,0,102,14,1,9
Schaarbeekse Kriek,Lambic - Fruit,Brouwerij Drie Fonteinen,6,39,31,8,2,52,116,0,100,18,7,13
Mamouche,Lambic - Fruit,Brasserie Cantillon,5,37,20,5,10,16,90,0,44,78,26,4
Blåbær Lambik,Lambic - Fruit,Brasserie Cantillon,5,30,25,6,5,99,119,0,113,12,0,8
Pomme (Apple),Lambic - Fruit,Brouwerij Lindemans,4,14,19,8,6,159,185,3,136,7,2,20
Oud Beersel Oude Kriek Vieille,Lambic - Fruit,Brouwerij Oud Beersel,6.5,28,42,6,4,29,102,0,81,12,15,8
Framboos,Lambic - Fruit,Brouwerij Drie Fonteinen,5,26,20,4,4,97,95,0,94,8,0,8
Oude Kriek,Lambic - Fruit,Hanssens Artisanaal bvba,6,30,34,9,0,36,157,0,91,6,5,8
Coolship Red,Lambic - Fruit,Allagash Brewing Company,6.2,40,18,7,2,74,113,1,83,10,3,10
Cassis,Lambic - Fruit,Brouwerij Lindemans,3.5,26,22,8,4,125,118,0,111,10,0,9
Boon Kriek,Lambic - Fruit,Brouwerij Boon,5,14,34,12,2,52,76,0,95,0,4,20
Boon Oude Kriek Mariage Parfait,Lambic - Fruit,Brouwerij Boon,8,34,41,11,8,69,109,0,104,8,10,13
Oudbeitje,Lambic - Fruit,Hanssens Artisanaal bvba,6,45,38,12,9,70,188,7,119,14,7,21
Boon Framboise,Lambic - Fruit,Brouwerij Boon,5.5,24,32,7,1,112,94,1,94,12,5,22
Peach,Lambic - Fruit,Upland Brewing Company,6,60,41,11,0,70,185,4,147,11,7,39
Blackberry,Lambic - Fruit,Upland Brewing Company,6,57,28,11,1,103,219,0,117,5,5,3
Strawberry Lambic,Lambic - Fruit,Upland Brewing Company,6.95,51,32,6,5,65,227,1,145,11,0,13
Persimmon Lambic,Lambic - Fruit,Upland Brewing Company,6.95,54,28,5,10,69,233,0,117,4,3,12
Oud Beersel Framboise,Lambic - Fruit,Brouwerij Oud Beersel,5,38,29,8,12,148,123,2,124,25,10,22
Spontanframboos,Lambic - Fruit,Mikkeller ApS,7.7,30,25,14,7,104,138,4,96,10,10,20
Cherry,Lambic - Fruit,Upland Brewing Company,6,53,29,6,3,56,173,0,119,7,8,36
Mort Subite Kriek,Lambic - Fruit,Brouwerij Mort Subite,4.5,15,19,6,1,68,70,0,70,6,0,4
St. Louis Premium Framboise,Lambic - Fruit,Brouwerij Van Honsebrouck N.V.,4.5,22,28,8,7,159,84,0,115,9,4,17
Coolship Cerise,Lambic - Fruit,Allagash Brewing Company,8.1,49,33,16,2,44,197,0,115,18,22,18
Experimental Raspberry,Lambic - Fruit,Hanssens Artisanaal bvba,6,76,32,15,3,119,241,5,138,15,7,23
Experimental Cassis,Lambic - Fruit,Hanssens Artisanaal bvba,6,60,35,7,6,68,182,0,97,5,3,2
Strawberry Lambicus,Lambic - Fruit,Brouwerij Timmermans-John Martin N.V.,4,20,27,6,8,67,57,0,94,25,5,21
Framboise Lambicus,Lambic - Fruit,Brouwerij Timmermans-John Martin N.V.,4,20,33,10,5,187,90,0,121,9,2,27
Scarenbecca Kriek,Lambic - Fruit,Hanssens Artisanaal bvba,6,57,35,12,3,48,170,0,105,12,6,14
Belle Vue Kriek,Lambic - Fruit,Brasserie Belle-Vue,5.2,6,25,3,5,71,44,0,62,7,0,3
Chez Monieux,Lambic - Fruit,Alpine Beer Company,5.8,35,50,6,0,43,134,0,85,7,7,11
Gueuze 100% Lambic,Lambic - Gueuze,Brasserie Cantillon,5,32,23,9,14,53,149,1,78,25,7,9
Oude Geuze,Lambic - Gueuze,Brouwerij Drie Fonteinen,6,59,31,9,10,50,206,2,112,24,8,19
Oude Gueuze Tilquin à L'Ancienne,Lambic - Gueuze,Gueuzerie Tilquin,6.4,53,36,18,17,74,198,0,114,23,7,20
Duck Duck Gooze,Lambic - Gueuze,The Lost Abbey,7,31,23,5,5,48,137,0,65,10,1,9
Oude Gueuze,Lambic - Gueuze,Hanssens Artisanaal bvba,6,44,34,15,8,77,197,3,117,17,9,23
Lou Pepe - Gueuze,Lambic - Gueuze,Brasserie Cantillon,5,23,23,3,3,34,116,1,54,6,2,5
Girardin Gueuze 1882 (Black Label),Lambic - Gueuze,Brouwerij Girardin,5,34,32,4,13,45,169,0,98,22,10,11
Boon Oude Geuze Mariage Parfait,Lambic - Gueuze,Brouwerij Boon,8,35,31,7,8,80,169,1,103,23,13,18
St. Louis Gueuze Fond Tradition,Lambic - Gueuze,Brouwerij Van Honsebrouck N.V.,5,35,41,9,14,67,178,0,117,32,11,13
Oud Beersel Oude Geuze Vieille,Lambic - Gueuze,Brouwerij Oud Beersel,6,41,38,16,12,64,183,0,87,21,7,14
Coolship Resurgam,Lambic - Gueuze,Allagash Brewing Company,6.3,47,27,13,22,68,185,0,127,22,11,18
Oude Geuze Boon,Lambic - Gueuze,Brouwerij Boon,7,33,24,6,20,50,145,2,93,20,11,19
Gueuze Tilquin (Draught Version),Lambic - Gueuze,Gueuzerie Tilquin,4.8,31,29,16,9,29,136,1,62,13,5,4
Doesjel,Lambic - Gueuze,Brouwerij Drie Fonteinen,6,48,41,4,14,53,160,0,80,26,5,28
Sour Reserve,Lambic - Gueuze,Upland Brewing Company,6,81,40,5,6,74,284,8,141,15,15,38
Gueuze,Lambic - Gueuze,Brouwerij Lindemans,5,31,32,7,8,131,183,0,97,24,3,24
Mort Subite Gueuze,Lambic - Gueuze,Brouwerij Mort Subite,4.5,12,20,6,3,86,95,0,60,9,5,14
Oude Geuze De Cam,Lambic - Gueuze,De Cam Geuzestekerij,5.5,63,55,9,11,62,229,1,115,38,10,19
Belle Vue Gueuze,Lambic - Gueuze,Brasserie Belle-Vue,5.5,23,38,4,10,91,101,3,44,18,4,41
De Troch Oude Gueuze,Lambic - Gueuze,Brouwerij De Troch,5.5,51,23,5,14,49,200,7,96,8,14,30
Girardin Gueuze 1882 (White Label),Lambic - Gueuze,Brouwerij Girardin,5,34,30,4,14,83,163,0,88,27,14,18
Brabantiae,Lambic - Gueuze,Brasserie Cantillon,5,42,36,5,18,29,169,0,80,11,2,7
Mort Subite Oude Gueuze,Lambic - Gueuze,Brouwerij Mort Subite,7,26,38,10,9,82,159,1,92,6,7,33
Reuss,Lambic - Gueuze,Brouwerij Kerkom,5.8,15,7,7,15,16,75,2,18,21,0,18
Chapeau Gueuze Lambic,Lambic - Gueuze,Brouwerij De Troch,5.5,6,16,6,1,69,69,0,52,3,0,10
Iris,Lambic - Traditional,Brasserie Cantillon,6.5,69,34,16,90,59,191,4,123,100,17,56
Bruocsella (1900) Grand Cru,Lambic - Traditional,Brasserie Cantillon,5,29,23,6,13,40,122,0,58,16,6,11
50 Degrees North-4 Degrees East,Lambic - Traditional,Brasserie Cantillon,7,21,38,29,17,62,106,0,66,25,5,15
Oude Lambiek De Cam,Lambic - Traditional,De Cam Geuzestekerij,4.8,55,33,11,16,61,213,2,94,23,7,21
Lambic,Lambic - Traditional,Brasserie Cantillon,5,33,43,2,9,18,107,0,34,14,12,14
Tuverbol,Lambic - Traditional,Café-Brouwerij Loterbol,11,33,43,40,19,48,157,0,91,30,15,24
Divina,Lambic - Traditional,Panil,5.5,22,22,2,3,39,92,1,58,5,9,13
Lambiek Oud Beersel,Lambic - Traditional,Brouwerij Oud Beersel,5.6,15,30,0,8,18,87,2,39,9,2,10
Boon Oude Lambic,Lambic - Traditional,Brouwerij Boon,6.5,14,17,2,5,20,48,0,25,7,5,5
Lambiek (1 Year Old),Lambic - Traditional,Brouwerij Drie Fonteinen,5,16,21,2,0,6,39,0,12,2,6,2
Jonge Lambik,Lambic - Traditional,Brouwerij Drie Fonteinen,5,6,14,0,2,5,33,0,14,4,2,3
Oude Lambik,Lambic - Traditional,Brouwerij Drie Fonteinen,5,6,7,2,1,5,22,0,9,1,2,1
Lambik (1 Year Old Unblended),Lambic - Traditional,Brouwerij Girardin,5,14,12,3,1,24,56,0,31,4,6,7
Vesterbro Spontanale,Lambic - Traditional,Mikkeller ApS,5.5,2,2,0,0,2,10,0,2,0,0,1
Lambiek De Cam,Lambic - Traditional,De Cam Geuzestekerij,5,10,2,2,3,9,27,0,17,6,0,2
Boon Lambiek,Lambic - Traditional,Brouwerij Boon,6,12,6,0,0,3,19,0,4,2,2,4
Lambik (2 Year Old Unblended),Lambic - Traditional,Brouwerij Girardin,5,18,10,2,12,21,48,0,24,15,2,9
Jonge Lambiek,Lambic - Traditional,Brouwerij Girardin,5,9,13,0,3,14,32,4,21,3,5,4
Oude Lambik,Lambic - Traditional,Brouwerij Lindemans,5,6,11,0,1,6,17,0,14,0,4,0
De Troch Jonge Lambik,Lambic - Traditional,Brouwerij De Troch,5,2,2,1,0,0,5,0,0,0,0,0
Lambik (3 Year Old Unblended),Lambic - Traditional,Brouwerij Girardin,5,5,9,0,2,4,17,0,5,1,4,5
Mort Subite Blonde Lambic,Lambic - Traditional,Brouwerij Mort Subite,5.5,4,1,0,4,4,11,0,4,6,0,0
Oud,Lambic - Traditional,Brouwerij Bockor N.V.,6,7,6,1,1,11,34,0,19,2,1,7
Tilquin Jonge Lambic,Lambic - Traditional,Gueuzerie Tilquin,6,1,1,1,1,5,5,0,5,2,0,0
O'Doul's,Low Alcohol Beer,Anheuser-Busch,0.5,22,26,24,20,12,8,3,1,41,6,62
O'Doul's Amber,Low Alcohol Beer,Anheuser-Busch,0.5,15,32,34,33,57,17,3,14,57,4,94
Kaliber,Low Alcohol Beer,Guinness Ltd.,0.5,9,25,15,17,26,7,0,9,21,2,47
Sharp's,Low Alcohol Beer,Miller Brewing Co.,0.4,6,13,15,5,15,2,0,4,5,1,44
St. Pauli N. A.,Low Alcohol Beer,St. Pauli Brauerei C.L. Wilh. Brandt Gmbh & Co.,0.5,17,19,18,16,16,7,4,2,34,4,50
Buckler Non-Alcoholic Brew,Low Alcohol Beer,Heineken Nederland B.V.,0.5,18,21,15,31,24,6,3,6,47,7,56
Erdinger Weissbier Alkoholfrei (Non-Alcoholic),Low Alcohol Beer,Erdinger Weissbräu,0.5,22,32,27,38,46,12,3,14,77,21,90
Nanny State,Low Alcohol Beer,BrewDog,0.5,20,43,37,118,48,57,2,89,146,15,89
Beck's Non-Alcoholic,Low Alcohol Beer,Brauerei Beck & Co.,0.3,18,26,34,23,24,6,4,6,48,6,59
Busch NA,Low Alcohol Beer,Anheuser-Busch,0.5,5,30,20,9,5,4,1,1,13,0,40
Clausthaler Golden Amber,Low Alcohol Beer,Binding-Brauerei AG,0.3,22,38,29,40,65,16,0,13,70,4,81
Drive,Low Alcohol Beer,Bitburger Brauerei,0.5,13,24,30,36,15,10,0,5,48,7,40
Warsteiner Premium Fresh,Low Alcohol Beer,Warsteiner Brauerei,0.5,22,23,17,46,18,15,2,5,65,2,57
Old Milwaukee Non Alcoholic,Low Alcohol Beer,Pabst Brewing Company,0.4,5,28,20,14,17,4,0,1,15,1,44
Hefe-Weissbier Alkoholfrei,Low Alcohol Beer,Paulaner Brauerei GmbH & Co. KG,0.55,8,17,11,6,8,17,0,25,7,2,28
Baltika #0 Non-Alcoholic,Low Alcohol Beer,Baltika Breweries,0.5,4,17,14,16,22,10,0,13,19,1,32
Gerstel Non Alcoholic,Low Alcohol Beer,Privatbrauerei Eichbaum GmbH & Co. KG,0.55,7,30,7,33,40,11,4,3,43,1,64
ThomasBrau,Low Alcohol Beer,Paulaner Brauerei GmbH & Co. KG,0.5,12,31,31,24,42,7,3,11,30,0,62
Schneider Weisse Tap 3 Mein Alkoholfreies,Low Alcohol Beer,Weisses Bräuhaus G. Schneider & Sohn GmbH,0.5,7,15,10,4,13,7,0,13,5,6,27
Labatt Blue Non-Alcoholic,Low Alcohol Beer,Labatt Brewing Company Ltd.,0.5,8,14,18,12,32,6,0,23,17,0,24
Original Alkoholfrei,Low Alcohol Beer,Bayerische Staatsbrauerei Weihenstephan,0.4,16,16,13,18,19,9,6,6,42,4,55
Haake Beck NA,Low Alcohol Beer,Brauerei Beck & Co.,0.5,17,22,10,25,24,13,1,11,31,3,33
Krombacher Alkoholfrie,Low Alcohol Beer,Krombacher Brauerei,0.5,11,19,16,21,24,8,3,7,30,3,29
Einbecker Brauherren Non-Alcoholic,Low Alcohol Beer,Einbecker Brauhaus AG,0.5,24,13,12,30,8,8,3,6,51,7,39
Pabst Blue Ribbon Non-Alcoholic,Low Alcohol Beer,Pabst Brewing Company,0.5,14,22,16,12,13,5,0,5,18,0,15
Molson Exel,Low Alcohol Beer,Molson Coors Canada,0.5,11,12,5,9,20,4,0,1,11,0,18
Alkoholfrei,Low Alcohol Beer,Bitburger Brauerei,0.55,14,17,13,25,10,2,3,0,55,5,37
Malta India,Low Alcohol Beer,"Cerveceria Vegana, S.A.",0.5,4,22,13,19,47,4,0,3,8,2,56
Fentimans Full Bodied Shandy,Low Alcohol Beer,Fentimans Ltd.,0.5,2,12,7,8,14,25,0,31,11,4,11
Weisse Alkoholfrei,Low Alcohol Beer,Brauerei Gebrüder Maisel GmbH & Co.,0.2,4,8,7,3,12,3,0,7,4,2,15
Jupiler NA,Low Alcohol Beer,Brasserie Piedboeuf,0.5,0,5,3,4,7,1,0,0,5,2,7
Genesee NA,Low Alcohol Beer,Genesee Brewing Co. / Dundee Brewing Co.,0.05,2,10,10,3,13,3,0,1,3,3,20
Mild Winter,Mild Ale - English Dark,Goose Island Beer Co.,5.6,11,57,17,35,99,21,0,33,41,19,163
Commercial Suicide,Mild Ale - English Dark,Jester King Craft Brewery,2.9,26,46,14,22,38,73,2,28,22,9,74
Black CatMoorhouse's Brewery (Burnley) Ltd,Mild Ale - English Dark,Moorhouse's Brewery (Burnley) Ltd,3.4,15,116,9,66,83,21,0,17,50,6,154
Motor City Brewing Ghettoblaster,Mild Ale - English Dark,Motor City Brewing Works,4.2,25,48,22,46,67,44,3,32,70,11,155
Mild,Mild Ale - English Dark,Surly Brewing Company,4.2,12,73,3,33,39,8,1,7,28,13,115
Hockley Dark,Mild Ale - English Dark,Hockley Valley Brewing Co.,5,12,68,8,33,74,19,0,27,32,8,107
Dark Ale,Mild Ale - English Dark,Coopers Brewery Limited,4.5,12,79,5,45,81,22,0,24,35,5,106
Neustadt 10w30,Mild Ale - English Dark,Neustadt Springs Brewery,5.5,6,59,9,40,75,14,1,24,31,5,129
Cains Dark Mild,Mild Ale - English Dark,Robert Cain & Company Limited,3.2,15,112,10,49,84,11,0,21,46,9,142
Solidarity,Mild Ale - English Dark,Eagle Rock Brewery,3.8,7,82,12,45,36,10,0,4,18,6,102
Tooheys Old,Mild Ale - English Dark,Tooheys Brewing,4.8,8,59,10,54,50,9,0,4,36,9,100
Black Tusk Ale,Mild Ale - English Dark,Whistler Brewing Company,5,15,79,7,60,71,13,1,22,38,6,138
Floppin' Crappie,Mild Ale - English Dark,Northwoods Brewpub and Grill,4.5,13,48,6,40,49,11,3,8,41,8,99
Dark Ale,Mild Ale - English Dark,Fort Garry Brewing Company Ltd.,5,11,47,9,40,57,10,0,8,30,1,108
Mild At Heart,Mild Ale - English Dark,Wandering Star Brewing Company,4.3,7,50,8,23,31,7,0,6,15,12,77
Old Gollywobbler Brown Ale,Mild Ale - English Dark,Sea Dog Brewing Company,4,6,26,2,21,39,5,0,4,24,5,70
Ale Of Fergus,Mild Ale - English Dark,Devils Backbone Brewing Company,4,4,28,1,14,18,5,0,4,15,7,38
Community Dark Mild Ale,Mild Ale - English Dark,New Albanian Brewing Company - Pizzeria and Public House,3.7,2,34,2,21,23,2,0,4,14,3,62
J. Henry Original Mild Ale,Mild Ale - English Dark,Calfkiller Brewing Company,5.9,4,11,0,5,18,1,0,5,4,1,24
After Dark,Mild Ale - English Dark,Nelson Brewing Company,5,9,59,5,35,60,28,1,32,34,9,88
Original Sarah Hughes Dark Ruby MildBeacon Hotel (Sarah Hughes Brewery),Mild Ale - English Dark,Beacon Hotel (Sarah Hughes Brewery),6,7,49,5,21,83,55,0,69,14,14,50
Oliver's Dark Horse,Mild Ale - English Dark,Pratt Street Ale House,4,4,33,4,22,25,1,0,1,19,13,48
Gale's Festival Mild,Mild Ale - English Dark,George Gale & Company Ltd,4.8,22,65,16,39,88,46,1,51,38,15,74
Nutty Black,Mild Ale - English Dark,Daniel Thwaites Brewery PLC,3.3,7,42,6,17,40,9,0,7,20,2,50
D'Artagnan Dark British Ale,Mild Ale - English Dark,Market Street Brewing Co. and Restaurant,6.5,5,38,4,17,23,2,0,2,12,1,54
Ruby Mild,Mild Ale - English Dark,Rudgate Brewery Limited,4.4,8,30,5,15,36,14,0,15,13,8,46
London Ruby Anglaise,Mild Ale - English Dark,Brasseurs De Montréal,4,5,25,3,20,22,8,0,5,29,2,43
Fat Belly Amber,Mild Ale - English Dark,Montana Brewing Company,4.6,1,15,2,10,19,6,0,5,10,1,30
Ossian,Mild Ale - English Pale,"Inveralmond Brewery Ltd., The",4.1,15,64,10,56,71,39,1,46,78,10,101
Dead Horse Amber Ale,Mild Ale - English Pale,Moab Brewery,4,13,35,8,35,40,24,1,30,40,3,77
Mild Ale,Mild Ale - English Pale,Coopers Brewery Limited,3.5,17,33,8,30,25,34,1,28,43,5,43
Minerva Pale Ale,Mild Ale - English Pale,Cervecería Minerva,6,8,14,7,32,31,18,0,19,49,1,50
Hop,Mild Ale - English Pale,Greene King / Morland Brewery,5,26,35,2,64,37,32,0,32,76,9,51
Golden Pippin Ale,Mild Ale - English Pale,Copper Dragon Brewery,3.9,13,11,7,23,13,24,2,28,25,5,16
Owl's Head Light Ale,Mild Ale - English Pale,Sea Dog Brewing Company,3.2,12,7,2,10,3,1,0,1,10,0,12
Blue Label Ale,Mild Ale - English Pale,Simonds Farsons Cisk Plc.,4.7,3,27,4,11,12,6,0,4,14,0,40
Next Door AleRohrbach Brewing Company (Brewpub),Mild Ale - English Pale,Rohrbach Brewing Company (Brewpub),5.6,1,8,1,6,6,1,0,1,12,1,17
Snowdonia Ale (Cwrw Eryri),Mild Ale - English Pale,Purple Moose Brewery,3.6,2,0,2,4,0,2,0,2,4,0,1
Summer Ale,Mild Ale - English Pale,Granite Brewery & Restaurant,4,10,23,6,13,12,18,0,19,17,3,30
Thwaites Smooth,Mild Ale - English Pale,Daniel Thwaites Brewery PLC,3.4,3,17,0,3,8,3,0,1,9,3,10
Thoroughbred Gold,Mild Ale - English Pale,Daniel Thwaites Brewery PLC,4,6,15,5,15,12,9,0,9,16,2,18
Colón Rubia,Mild Ale - English Pale,Palos De Moguer - 82,5,4,7,4,22,17,9,0,6,28,0,32
Arran Sunset,Mild Ale - English Pale,Isle of Arran Brewery Company Ltd.,4.4,8,5,2,20,13,17,0,18,22,4,13
England's Gold,Mild Ale - English Pale,"Badger Brewery, Hall and Woodhouse",4.6,8,10,1,14,13,11,0,10,21,3,5
Spring Mild,Mild Ale - English Pale,The Ship Inn,0,0,9,1,6,7,3,0,0,4,1,16
Jacob Mac Mild,Mild Ale - English Pale,Dostal Alley Brewpub,0,4,4,1,2,3,0,0,0,6,0,12
Finchcocks Original,Mild Ale - English Pale,Westerham Brewery Company Ltd,3.5,3,11,3,18,2,8,0,7,26,3,15
Curmudgeon,Old Ale,Founders Brewing Company,9.8,12,39,40,50,68,21,0,34,30,15,97
Old Stock Ale,Old Ale,North Coast Brewing Co.,12,13,40,34,37,96,27,1,51,38,19,87
Hibernation Ale,Old Ale,Great Divide Brewing Company,8.7,11,72,41,50,93,14,1,24,35,3,139
Adam,Old Ale,Hair of the Dog Brewing Company / Brewery and Tasting Room,10,10,104,38,56,125,25,0,67,31,42,132
Fourth Dementia - Bourbon Barrel-Aged,Old Ale,Kuhnhenn Brewing Company,13.5,13,61,58,30,134,14,0,57,18,32,124
Old Jubilation,Old Ale,Avery Brewing Company,8.3,3,37,27,25,64,10,1,32,22,17,72
Fuller's Vintage Ale,Old Ale,Fuller Smith & Turner PLC,8.5,5,67,44,35,79,31,0,63,42,12,90
Old Stock Cellar Reserve (Aged In Bourbon Barrels),Old Ale,North Coast Brewing Co.,13.16,8,61,79,35,106,15,0,38,7,21,128
