Name,Style,Brewery,ABV,Astringency,Body,Alcohol,Bitter,Sweet,Sour,Salty,Fruits,Hoppy,Spices,Malty
J.W. Lees Harvest Ale (Calvados Cask)J.W. Lees & Co (Brewers) Ltd,Barleywine - English,J.W. Lees & Co (Brewers) Ltd,11.5,9,38,48,23,188,74,0,93,22,30,93
J.W. Lees Harvest Ale (Port Cask)J.W. Lees & Co (Brewers) Ltd,Barleywine - English,J.W. Lees & Co (Brewers) Ltd,11.5,7,48,38,23,148,36,0,89,9,14,76
Ridge Runner,Barleywine - English,Rock Art Brewery,7.2,9,53,20,27,80,22,2,45,29,5,114
J.W. Lees Harvest Ale (Sherry Cask)J.W. Lees & Co (Brewers) Ltd,Barleywine - English,J.W. Lees & Co (Brewers) Ltd,11.5,5,58,22,24,134,40,0,85,30,31,101
Irish Walker,Barleywine - English,Olde Hickory Brewery,10.14,7,83,62,58,186,52,0,105,40,17,170
Criminally Bad Elf Barleywine-Style Ale,Barleywine - English,Ridgeway Brewing,10.5,13,63,52,34,125,44,0,82,52,14,92
Commander,Barleywine - English,Lift Bridge Brewery,12.5,4,51,71,10,96,17,0,34,11,66,95
Pugsley's Signature Series: Barley Wine,Barleywine - English,Shipyard Brewing Co.,8.5,23,99,30,65,124,42,0,63,54,20,130
Bommen & Granaten,Barleywine - English,Brouwerij De Molen,15.2,11,55,39,36,144,45,0,88,30,6,70
Double Old Thumper Ale,Barleywine - English,Shipyard Brewing Co.,11.2,2,62,63,57,145,54,0,80,68,17,125
Wooden Hell,Barleywine - English,Flossmoor Station Restaurant & Brewery,9.5,11,77,90,35,134,28,0,78,44,51,143
Golden Pride,Barleywine - English,Fuller Smith & Turner PLC,8.5,9,48,54,37,101,35,0,59,39,4,111
Stormwatcher's Winterfest,Barleywine - English,Pelican Pub & Brewery,13,7,57,46,29,122,26,2,74,30,16,130
Old Abominable,Barleywine - English,Stoudts Brewing Co.,9,11,51,23,29,114,33,6,53,36,4,91
Fuller's ESB,Bitter - English Extra Special / Strong Bitter (ESB),Fuller Smith & Turner PLC,5.9,15,59,16,41,63,23,0,37,57,10,67
Hobgoblin Ruby,Bitter - English Extra Special / Strong Bitter (ESB),Wychwood Brewery Company Ltd,5.2,8,44,6,49,82,19,0,37,59,13,88
Sawtooth,Bitter - English Extra Special / Strong Bitter (ESB),Left Hand Brewing Company,5.3,18,37,2,55,53,18,0,25,78,0,117
Harvest Ale,Bitter - English Extra Special / Strong Bitter (ESB),Southern Tier Brewing Company,6.7,18,26,11,74,21,23,0,26,105,9,52
Old Thumper,Bitter - English Extra Special / Strong Bitter (ESB),Shipyard Brewing Co.,5.6,12,27,19,57,75,29,0,35,75,5,102
Abbot Ale,Bitter - English Extra Special / Strong Bitter (ESB),Greene King / Morland Brewery,5,9,42,5,30,63,16,3,19,51,7,92
