Date,eth_usd,Open,High,Low,Close,Adj Close,Volume,SMA_20,EMA_20,RSI,MACD,MACD_Signal,Bollinger_Upper,Bollinger_Lower,Bollinger_Bandwidth,Percent_B
13/04/2023,ETH/USD,1917.698364,2022.150146,1901.860352,2012.634644,2012.634644,12546950499,1839.979639,1850.23956,69.92659698,61.00310452,52.98438728,1976.925943,1703.033334,273.8926095,1.130374822
14/04/2023,ETH/USD,2013.930664,2126.31665,2011.503296,2101.635498,2101.635498,16298099411,1857.873175,1874.18203,74.66277209,73.56281472,57.10007277,2029.089043,1686.657307,342.4317356,1.211856693
15/04/2023,ETH/USD,2101.616455,2111.075439,2076.510742,2092.466797,2092.466797,8036468153,1873.712677,1894.971056,73.38066256,81.83331447,62.04672111,2068.563639,1678.861715,389.7019239,1.061337028
16/04/2023,ETH/USD,2092.281006,2137.445068,2076.832031,2120.005859,2120.005859,7898126856,1893.939929,1916.402942,74.78143444,89.57732565,67.55284202,2102.39536,1685.484499,416.9108607,1.042240444
17/04/2023,ETH/USD,2120.001221,2120.113525,2063.038574,2076.24292,2076.24292,9648882546,1909.112793,1931.625797,68.60330203,91.13268595,72.2688108,2124.156991,1694.068595,430.0883965,0.888594829
18/04/2023,ETH/USD,2075.855225,2121.531494,2057.653809,2104.537354,2104.537354,9134015143,1924.689569,1948.093564,70.31110089,93.56982977,76.5290146,2148.777195,1700.601943,448.1752517,0.901288968
19/04/2023,ETH/USD,2103.946289,2104.857178,1928.582886,1936.403442,1936.403442,13779745451,1931.872882,1946.980219,52.15608227,81.00055832,77.42332334,2147.63669,1716.109075,431.527615,0.510498888
20/04/2023,ETH/USD,1936.417969,1979.573364,1918.132813,1943.097656,1943.097656,11324135406,1937.92666,1946.610451,52.67998018,70.76376659,76.09141199,2147.734162,1728.119159,419.6150032,0.512323192
21/04/2023,ETH/USD,1943.409912,1955.64917,1827.78894,1849.999878,1849.999878,12044274581,1939.733624,1937.409444,45.25770753,54.51046009,71.77522161,2145.825529,1733.641719,412.1838104,0.282296771
22/04/2023,ETH/USD,1849.286499,1886.781616,1845.849243,1874.228638,1874.228638,6970642726,1943.65965,1931.392225,47.33726654,43.08796477,66.03777024,2141.45179,1745.867509,395.5842805,0.324484907
23/04/2023,ETH/USD,1874.171509,1882.229736,1838.992432,1862.062012,1862.062012,6607451862,1946.247894,1924.789347,46.38437465,32.67712831,59.36564186,2138.262104,1754.233685,384.0284192,0.280782155
24/04/2023,ETH/USD,1862.085327,1888.193726,1811.792114,1842.757446,1842.757446,8438191338,1944.83551,1916.976785,44.84196531,22.6081358,52.01414064,2139.440847,1750.230173,389.2106737,0.237730564
25/04/2023,ETH/USD,1842.204346,1877.484985,1805.322876,1866.753662,1866.753662,8677255481,1942.717493,1912.193631,47.1926259,16.37590947,44.88649441,2139.738921,1745.696065,394.0428559,0.307219369
26/04/2023,ETH/USD,1866.148926,1962.567627,1792.463867,1866.564209,1866.564209,14356524696,1942.399573,1907.847971,47.17553198,11.29137794,38.16747111,2139.890429,1744.908717,394.9817115,0.308002848
27/04/2023,ETH/USD,1866.693237,1936.94519,1863.147949,1908.786377,1908.786377,14008145806,1944.557086,1907.937343,51.40049391,10.5472441,32.64342571,2139.573655,1749.540517,390.0331378,0.408288025
28/04/2023,ETH/USD,1909.273071,1923.199219,1876.29187,1892.512817,1892.512817,7691759733,1946.707819,1906.468341,49.74891991,8.545861046,27.82391278,2138.40404,1755.011598,383.3924422,0.358643533
29/04/2023,ETH/USD,1892.565063,1916.973755,1887.990479,1908.916992,1908.916992,4796651246,1949.184277,1906.701546,51.44264258,8.189032304,23.89693668,2137.555142,1760.813413,376.7417289,0.393117003
30/04/2023,ETH/USD,1908.741333,1938.417969,1876.924316,1876.924316,1876.924316,6539641957,1947.470117,1903.865619,48.04172321,5.264021035,20.17035355,2137.805828,1757.134407,380.6714214,0.314680596
01/05/2023,ETH/USD,1868.891113,1886.206421,1809.193237,1831.954834,1831.954834,8625783201,1944.458374,1897.016973,43.67132104,-0.674952443,16.00129235,2140.031817,1748.884931,391.1468857,0.212375212
02/05/2023,ETH/USD,1831.726563,1879.759521,1824.327026,1870.789307,1870.789307,7536785767,1941.963733,1894.5191,48.06517581,-2.222395926,12.3565547,2139.944648,1743.982817,395.9618312,0.320249275
03/05/2023,ETH/USD,1870.687134,1915.50415,1845.871826,1904.651855,1904.651855,8306390869,1936.564594,1895.484124,51.609726,-0.708168025,9.743610154,2132.420152,1740.709035,391.7111172,0.418529915
04/05/2023,ETH/USD,1905.168945,1915.871704,1868.629761,1877.704102,1877.704102,6578438233,1925.368024,1893.790789,48.75782528,-1.663415217,7.462205079,2107.305315,1743.430733,363.8745823,0.369010026
05/05/2023,ETH/USD,1877.83313,1998.413574,1876.946655,1995.060913,1995.060913,9498261360,1920.497729,1903.435563,59.30457904,6.96892497,7.363549057,2089.0009,1751.994559,337.0063419,0.721251574
06/05/2023,ETH/USD,1995.479126,2017.559448,1870.605591,1900.221802,1900.221802,9623243037,1909.508527,1903.12949,50.29543238,6.087223358,7.108283918,2051.042241,1767.974813,283.0674278,0.467192535
07/05/2023,ETH/USD,1899.917603,1933.998413,1873.076416,1873.076416,1873.076416,6883942236,1899.350201,1900.267293,48.04563903,3.161617554,6.318950645,2019.034846,1779.665557,239.3692883,0.390237442
08/05/2023,ETH/USD,1872.475098,1886.162109,1818.450562,1849.042725,1849.042725,9895102899,1886.57547,1895.388762,46.08029545,-1.083771124,4.838406291,1962.453358,1810.697581,151.755777,0.252676662
09/05/2023,ETH/USD,1849.061035,1860.66748,1832.906982,1848.603149,1848.603149,6129516088,1882.185455,1890.93299,46.04319772,-4.432645504,2.984195932,1956.159634,1808.211277,147.9483573,0.273013323
10/05/2023,ETH/USD,1848.213501,1886.800293,1795.668823,1842.401489,1842.401489,9945549603,1877.150647,1886.310942,45.48681059,-7.500612332,0.887234279,1947.4733,1806.827994,140.6453052,0.252930553
11/05/2023,ETH/USD,1842.492065,1842.492065,1774.132568,1796.490601,1796.490601,8353828312,1874.475183,1877.756624,41.48971561,-13.48122006,-1.986456588,1952.388076,1796.562291,155.8257849,-0.000460066
12/05/2023,ETH/USD,1795.176636,1812.424927,1742.403809,1808.019775,1808.019775,9047198660,1871.16474,1871.115019,42.84789893,-17.09354299,-5.007873868,1954.290156,1788.039324,166.2508317,0.120182564
13/05/2023,ETH/USD,1808.375,1816.058472,1788.475586,1796.114868,1796.114868,4647630864,1867.867383,1863.972148,41.7696973,-20.67859153,-8.1420174,1957.177344,1778.557421,178.619923,0.098295008
14/05/2023,ETH/USD,1796.10791,1823.490723,1793.22876,1800.500977,1800.500977,4711210241,1865.754559,1857.927274,42.34532674,-22.90184779,-11.09398348,1959.242301,1772.266817,186.9754838,0.151004605
15/05/2023,ETH/USD,1800.371216,1845.695435,1787.536377,1817.549927,1817.549927,6748889346,1863.294373,1854.081813,44.63631013,-23.02269529,-13.47972584,1959.108179,1767.480566,191.6276127,0.261284686
16/05/2023,ETH/USD,1816.824219,1830.351563,1797.84375,1824.12146,1824.12146,5595959668,1861.172235,1851.228446,45.53469233,-22.33078462,-15.2499376,1958.470933,1763.873537,194.5973964,0.309602925
17/05/2023,ETH/USD,1824.068359,1835.554565,1786.671997,1821.859619,1821.859619,6352161579,1856.825897,1848.431415,45.26245092,-21.71463923,-16.54287792,1952.987995,1760.663799,192.3241962,0.318190957
18/05/2023,ETH/USD,1822.068237,1831.450317,1774.195068,1801.728516,1801.728516,5673124255,1852.286682,1843.983519,42.80921521,-22.59034396,-17.75237113,1949.842637,1754.730728,195.1119089,0.24087606
19/05/2023,ETH/USD,1800.994385,1826.194214,1797.434448,1812.589478,1812.589478,4796110259,1847.470306,1840.993611,44.55522715,-22.15259607,-18.63241612,1942.854527,1752.086086,190.7684414,0.317156189
